City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
123,arroyo,0,ES,1615180522,93,41.6096,-4.7969,278.71,4.63
124,teya,88,RU,1615180522,92,60.3778,92.6267,263.77,2.94
125,sitka,90,US,1615180523,75,57.0531,-135.33,278.15,1.59
126,oussouye,0,SN,1615180523,48,12.485,-16.5469,292.94,3.29
127,saint-philippe,7,RE,1615180523,70,-21.3585,55.7679,302.59,3.6
128,hobyo,53,SO,1615180523,70,5.3505,48.5268,300.21,7.91
129,hamilton,1,US,1615180241,69,39.1834,-84.5333,275.37,1.01
130,college,90,US,1615180514,79,64.8569,-147.8028,264.15,1.54
131,deqing,99,CN,1615180523,90,30.5448,119.9599,287.04,3.13
132,bambous virieux,40,MU,1615180524,78,-20.3428,57.7575,302.04,4.12
133,airai,63,TL,1615180524,92,-8.9266,125.4092,294.92,1.12
134,shakawe,8,BW,1615180524,68,-18.3667,21.85,290.09,0.47
135,ostrovnoy,100,RU,1615180524,91,68.0531,39.5131,253.25,3.24
136,yuncheng,100,CN,1615180525,68,35.0231,110.9928,280.58,3.09
137,umm lajj,0,SA,1615180525,60,25.0213,37.2685,296.28,3.07
138,sur,0,OM,1615180525,46,22.5667,59.5289,298.7,3.19
139,ouallam,77,NE,1615180525,16,14.3188,2.0866,299.12,4.25
140,ikwiriri,95,TZ,1615180525,86,-7.9562,38.9716,297.64,0.79
141,souillac,40,MU,1615180526,78,-20.5167,57.5167,301.15,4.12
142,mahebourg,40,MU,1615180526,78,-20.4081,57.7,301.15,4.12
143,north bend,1,US,1615180526,87,43.4065,-124.2243,279.15,1.54
144,ocampo,31,MX,1615180526,75,21.65,-101.5,281.54,2.95
145,port shepstone,90,ZA,1615180526,81,-30.7414,30.455,296.02,0.53
146,araouane,21,ML,1615180526,21,18.9048,-3.5265,295.1,5.08
147,tessalit,81,ML,1615180527,21,20.1986,1.0114,295.68,3.85
148,ixtapa,20,MX,1615180527,94,20.7,-105.2,295.93,1.31
149,sayansk,96,RU,1615180527,92,54.1088,102.1648,265.92,1.77
150,mount gambier,75,AU,1615180527,59,-37.8333,140.7667,292.15,5.66
151,long beach,75,US,1615180243,72,33.767,-118.1892,287.59,1.54
152,darnah,19,LY,1615180527,82,32.767,22.6367,287.44,4.04
153,oxford,90,GB,1615180509,86,51.7522,-1.256,275.37,1.03
154,leningradskiy,96,RU,1615180527,85,69.3833,178.4167,247.67,3.5
155,kieta,95,PG,1615180527,67,-6.2167,155.6333,301.7,1.27
156,sharjah,20,AE,1615180528,64,25.3573,55.4033,294.15,2.06
157,khatanga,91,RU,1615180528,85,71.9667,102.5,241.44,0.9
158,cidreira,1,BR,1615180528,79,-30.1811,-50.2056,295.86,5.52
159,zlitan,74,LY,1615180528,80,32.4674,14.5687,288.63,5.52
160,chuy,0,UY,1615180528,92,-33.6971,-53.4616,291.61,2.26
161,nobeoka,15,JP,1615180529,68,32.5833,131.6667,287.04,1.34
162,seddon,90,AU,1615180529,100,-37.8068,144.8916,290.37,5.14
163,cooma,90,AU,1615180529,33,-36.2333,149.1333,295.15,4.63
164,dryden,90,CA,1615180510,87,49.7833,-92.7503,276.15,5.66
165,rawson,0,AR,1615180529,34,-43.3002,-65.1023,288.45,7.55
166,kruisfontein,51,ZA,1615180529,79,-34.0033,24.7314,292.04,1.34
167,nanortalik,100,GL,1615180530,93,60.1432,-45.2371,272.24,7.66
168,muzhi,98,RU,1615180530,88,65.3667,64.6667,246.6,3.34
169,jatibonico,35,CU,1615180522,74,21.9419,-79.17,293.13,7.32
170,port alfred,40,ZA,1615180530,88,-33.5906,26.891,293.15,1.34
171,santa rosa,75,PH,1615180530,52,14.3122,121.1114,306.15,3.6
172,upata,56,VE,1615180531,90,8.0086,-62.3989,297.59,1.34
173,cherskiy,100,RU,1615180531,88,68.75,161.3,246.19,3.46
174,sambava,100,MG,1615180324,80,-14.2667,50.1667,299.23,1.85
175,beyneu,0,KZ,1615180531,85,45.3167,55.2,271.82,2.75
176,ito,75,JP,1615180531,93,34.9667,139.0833,282.15,6.69
177,monteagudo,64,BO,1615180531,65,-19.8167,-63.9833,291.76,1.28
178,te anau,97,NZ,1615180532,50,-45.4167,167.7167,288.99,1.16
179,chico,1,US,1615180402,62,39.7285,-121.8375,283.15,1.87
180,matagami,1,CA,1615180532,77,49.7502,-77.6328,251.15,2.57
181,rostovka,93,RU,1615180532,95,55.3842,71.8891,262.25,6.49
182,santiago del estero,0,AR,1615180532,38,-27.7951,-64.2615,297.09,2.92
183,hithadhoo,1,MV,1615180532,63,-0.6,73.0833,301.84,3.43
184,maniitsoq,76,GL,1615180532,94,65.4167,-52.9,266.32,5.68
185,pangkalanbuun,96,ID,1615180533,51,-2.6833,111.6167,306.04,1.86
186,juegang,99,CN,1615180533,84,32.3174,121.1855,283.71,0.45
187,poronaysk,0,RU,1615180533,89,49.2167,143.1167,267.41,0.98
188,tasiilaq,90,GL,1615180533,93,65.6145,-37.6368,273.15,14.4
189,boende,100,CD,1615180533,89,-0.2167,20.8667,294.49,1.17
190,san cristobal,95,VE,1615180533,83,7.7669,-72.225,292.35,0.68
191,nizwa,0,OM,1615180533,17,22.9333,57.5333,299.86,1.29
192,piribebuy,0,PY,1615180533,88,-25.4833,-57.05,294.15,1.4
193,pisco,0,PE,1615180534,78,-13.7,-76.2167,296.15,1.54
194,poopo,17,BO,1615180534,72,-18.3667,-66.9667,280.92,3.56
195,vila velha,75,BR,1615180534,94,-20.3297,-40.2925,296.15,1.03
196,kalmar,0,SE,1615180534,68,56.6616,16.3616,271.48,3.6
197,buala,100,SB,1615180534,74,-8.145,159.5921,301.76,2.63
198,hami,100,CN,1615180534,36,42.8,93.45,284.99,3.93
199,hudiksvall,0,SE,1615180534,81,61.729,17.1036,263.71,2.67
200,pacific grove,1,US,1615180534,81,36.6177,-121.9166,283.15,3.09
201,mendi,82,PG,1615180534,94,-6.1761,143.6513,290.64,1.32
202,monrovia,40,LR,1615180535,94,6.3005,-10.7969,297.15,1.54
203,sabang,77,ID,1615180535,74,5.8933,95.3214,301.21,3.52
204,guasdualito,100,VE,1615180535,85,7.2424,-70.7324,297.87,2.15
205,tuktoyaktuk,75,CA,1615180535,76,69.4541,-133.0374,245.15,6.17
206,key largo,0,US,1615180432,76,25.0865,-80.4473,290.93,10.5
207,richards bay,7,ZA,1615180536,82,-28.783,32.0377,295.84,4.64
208,gat,0,IL,1615180536,100,31.61,34.7642,285.37,1.33
209,gryfino,41,PL,1615180536,81,53.2524,14.4883,270.37,2.33
210,kodinsk,96,RU,1615180536,93,58.6881,99.1844,265.83,4.4
211,statesboro,1,US,1615180300,86,32.4488,-81.7832,276.15,0.97
212,sweetwater,20,US,1615180321,67,25.7634,-80.3731,289.26,2.57
213,hasaki,75,JP,1615180536,93,35.7333,140.8333,281.15,6.69
214,lagoa,82,PT,1615180536,98,39.05,-27.9833,288.28,5.37
215,mandal,0,IN,1615180537,18,25.45,74.5667,305.13,5.15
216,taoudenni,1,ML,1615180537,29,22.6783,-3.9836,290.72,3.08
217,kosa,100,RU,1615180537,94,59.9445,54.9977,257.11,3.28
218,butaritari,24,KI,1615180537,81,3.0707,172.7902,300.29,5.76
219,kalengwa,97,ZM,1615180537,98,-13.4659,25.0027,290.25,2.97
220,wenceslau braz,18,BR,1615180537,99,-23.8739,-49.8028,291.48,0.45
221,coahuayana,0,MX,1615180538,84,18.7333,-103.6833,294.48,1.52
222,berlevag,20,NO,1615180538,79,70.8578,29.0864,266.15,4.63
223,saint anthony,1,US,1615180538,93,45.0205,-93.218,279.82,1.54
224,wenling,85,CN,1615180538,73,28.3669,121.36,288.15,5.36
225,mulege,15,MX,1615180538,56,26.8833,-111.9833,289.8,0.69
226,rocha,0,UY,1615180538,95,-34.4833,-54.3333,290.24,3.19
227,lufilufi,75,WS,1615180538,94,-13.8745,-171.5986,299.82,3.6
228,nome,90,US,1615180441,93,64.5011,-165.4064,273.15,18.01
229,along,33,IN,1615180538,32,28.1667,94.7667,300.7,0.36
230,fairbanks,90,US,1615180307,86,64.8378,-147.7164,264.15,1.27
231,ilulissat,20,GL,1615180539,73,69.2167,-51.1,264.15,5.66
232,guerrero negro,97,MX,1615180539,81,27.9769,-114.0611,287.35,5.74
233,thompson,1,CA,1615180539,86,55.7435,-97.8558,267.15,2.37
234,srednekolymsk,100,RU,1615180539,87,67.45,153.6833,249.99,4.96
235,port macquarie,99,AU,1615180324,61,-31.4333,152.9167,302.04,0.45
236,marzuq,3,YE,1615180540,24,14.4,46.4667,293.99,0.16
237,mayo,1,US,1615180540,64,38.8876,-76.5119,273.15,2.39
238,hofn,100,IS,1615180540,71,64.2539,-15.2082,277.08,3.33
239,birobidzhan,0,RU,1615180540,89,48.8,132.95,269.22,2.72
240,kargasok,100,RU,1615180540,98,59.0556,80.8572,270.18,8.0
241,phuket,20,TH,1615180043,51,8.0,98.25,304.26,5.14
242,bama,0,NG,1615180540,28,11.5221,13.6856,291.76,2.19
243,karratha,5,AU,1615180540,57,-20.7377,116.8463,305.23,6.99
244,san carlos de bariloche,0,AR,1615180541,66,-41.1456,-71.3082,284.15,5.14
245,saint george,1,US,1615180541,21,37.1041,-113.5841,289.82,3.09
246,coihaique,1,CL,1615180541,80,-45.5752,-72.0662,276.21,2.94
247,odweyne,0,SO,1615180541,52,9.4092,45.064,292.53,3.31
248,wukari,90,NG,1615180541,79,7.85,9.7833,298.51,3.92
249,geraldton,0,AU,1615180541,34,-28.7667,114.6,308.15,8.23
250,baruun-urt,18,MN,1615180542,77,46.6806,113.2792,274.93,5.65
251,adolfo lopez mateos,22,MX,1615180542,47,28.4667,-107.3,282.28,2.47
252,deputatskiy,100,RU,1615180542,88,69.3,139.9,248.72,1.22
253,funchal,75,PT,1615180303,82,32.6333,-16.9,289.15,5.14
254,devonport,100,AU,1615180542,78,-41.1667,146.35,292.59,4.02
255,dir,29,PK,1615180347,48,35.2058,71.8756,284.91,2.18
256,severo-kurilsk,99,RU,1615180542,90,50.6789,156.125,265.01,11.99
257,ossora,0,RU,1615180543,80,59.2353,163.0719,249.53,1.39
258,svetlogorsk,25,BY,1615180543,95,52.6333,29.7333,267.73,4.8
259,lompoc,90,US,1615180543,87,34.6391,-120.4579,283.15,2.06
260,naze,75,JP,1615180543,83,28.3667,129.4833,295.15,5.66
261,jacqueville,20,CI,1615180543,100,5.2052,-4.4146,300.15,2.06
262,kununurra,23,AU,1615180544,44,-15.7667,128.7333,310.15,2.57
263,dudinka,99,RU,1615180544,89,69.4058,86.1778,247.12,2.79
264,yanam,40,IN,1615180544,70,16.7333,82.2167,302.15,2.57
265,mehamn,20,NO,1615180544,79,71.0357,27.8492,266.15,4.63
266,provideniya,100,RU,1615180544,94,64.3833,-173.3,269.29,4.43
267,ariquemes,27,BR,1615180544,98,-9.9133,-63.0408,295.93,0.36
268,cabo san lucas,2,MX,1615180545,65,22.8909,-109.9124,290.93,2.33
269,coquimbo,90,CL,1615180545,88,-29.9533,-71.3436,290.15,1.54
270,matamoros,57,MX,1615180545,61,25.5333,-103.25,286.82,4.25
271,kenai,1,US,1615180545,73,60.5544,-151.2583,265.93,3.09
